technique_id,video_type,youtube_id,instructor,title,duration_seconds,difficulty_level,belt_prerequisite,gi_nogi,concepts,quality_score,related_techniques,prerequisites,timestamp_start,timestamp_end,language,has_subtitles,source_channel,enrichment_status,enrichment_notes
CG_001,instructional,ypi3ie6hKTI,John Danaher,John Danaher Explains Closed Guard Fundamentals,720,2,white,both,"fundamentals|posture|grip_fighting",5,CG_002|CG_003|CG_008,,,,en,true,B-Team Jiu-Jitsu,complete,
CG_008,instructional,LDE0fkzZT6I,John Danaher,How To Do The Perfect Triangle Choke Even If You Have Short Legs,840,3,white,both,"angle|hip_movement|leverage",5,CG_009|SM_005,,,,en,true,B-Team Jiu-Jitsu,complete,
CG_008,instructional,VA6zjDN690s,John Danaher,Wrist Controls To Triangles,600,4,blue,both,"grip_fighting|setups|combinations",5,CG_016|SM_005,,,,en,true,B-Team Jiu-Jitsu,complete,
SC_016,instructional,cuXq-k__9lQ,John Danaher,How To Do The Perfect BJJ Side Control Escape,720,2,white,both,"frames|hip_movement|fundamentals",5,SC_017|HG_019,,,,en,true,B-Team Jiu-Jitsu,complete,
SC_016,instructional,gnAhAdE_A90,Lachlan Giles,The Best Way To Escape Side Control,540,2,white,both,"frames|hip_movement|fundamentals",5,SC_017|SC_018,,,,en,true,Absolute MMA St Kilda,complete,
BC_005,instructional,FpJTnOEkqYI,Craig Jones,Finishing A Mandible Rear Naked,420,5,blue,nogi,"pressure|angle|grip_fighting",5,SM_001|SM_002,,,,en,true,Craig Jones,complete,
GP_024,instructional,GCWfLiI51ds,Lachlan Giles,Understanding Guard Passing - Concepts And Heuristics,900,6,purple,both,"pressure|angle|fundamentals|transitions",5,GP_001|GP_005|GP_008,,,,en,true,Absolute MMA St Kilda,complete,
SM_028,instructional,CFTLb8iywJg,Lachlan Giles,Defending And Escaping The Saddle,600,7,purple,nogi,"defense|counters|hip_movement",5,SM_031|SM_032,,,,en,true,Absolute MMA St Kilda,complete,
HG_001,instructional,Ze10eulM1xg,John Danaher,How To Build The Perfect Half Guard Game For No Gi,900,4,blue,nogi,"fundamentals|transitions|combinations",5,HG_016|HG_019,,,,en,true,B-Team Jiu-Jitsu,complete,
HG_001,instructional,E8x1Cva8hJ8,John Danaher,How To Build The Perfect Half Guard Game,900,4,blue,gi,"fundamentals|transitions|combinations",5,HG_016|HG_019,,,,en,true,B-Team Jiu-Jitsu,complete,
OG_019,instructional,MXcQfCIh7n4,Gordon Ryan,The Most Basic Principles Of Butterfly And Open Guard,780,4,blue,both,"fundamentals|hip_movement|leverage",5,OG_020|OG_021,,,,en,true,B-Team Jiu-Jitsu,complete,
OG_019,instructional,Fcg4mtegux0,John Danaher,Understanding The Open Guard In BJJ,720,3,white,both,"fundamentals|posture|base",5,CG_001|HG_001,,,,en,true,B-Team Jiu-Jitsu,complete,
MT_001,instructional,tyI3aszI4qo,Gordon Ryan,Early Hand Fighting From Mount,600,4,blue,both,"grip_fighting|pressure|setups",5,MT_004|MT_008,,,,en,true,B-Team Jiu-Jitsu,complete,
TD_001,instructional,FksRO4JgQck,Stephan Kesting,Single And Double Leg Takedowns For Beginners,600,2,white,both,"fundamentals|timing|leverage",4,TD_002|TD_006,,,,en,true,Grapplearts,complete,
BJ_001,mindset,QorFNL9CRrU,Jocko Willink,BJJ Competition Mindset And Training Tips,720,5,blue,both,"mindset|competition",4,BJ_002|MG_001,,,,en,true,Jocko Podcast,complete,
BJ_004,mindset,IdTMDpizis8,Jocko Willink,GOOD - Turning Setbacks Into Opportunities,180,1,white,both,"mindset|fundamentals",5,BJ_003|MG_004,,,,en,true,Jocko Podcast,complete,This is the famous 3-minute GOOD video - essential for at-risk users
AL_001,lifestyle,_fbCcWyYthQ,Firas Zahabi,Training Smart - Never Be Sore Philosophy,900,3,white,both,"longevity|fundamentals",5,AL_003|LB_003,,,,en,true,JRE Clips,complete,Joe Rogan podcast clip - highly relevant for older practitioners
